Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.88      0.16     0.16   252378     0.00     0.00  exec_byte_code
  8.64      0.30     0.14 11299114     0.00     0.00  mark_objects
  6.17      0.40     0.10 54429389     0.00     0.00  hash_put
  4.94      0.48     0.08   211554     0.00     0.00  Fgarbage_collect_maybe
  3.70      0.54     0.06  1255412     0.00     0.00  syms_of_search
  3.09      0.59     0.05  4624268     0.00     0.00  syms_of_chartab
  2.47      0.63     0.04     3815     0.01     0.01  Fmalloc_trim
  1.85      0.66     0.03  2026386     0.00     0.00  plist_get
  1.85      0.69     0.03    16991     0.00     0.00  start_display
  1.85      0.72     0.03    14163     0.00     0.00  set_buffer_internal_2
  1.85      0.75     0.03     3502     0.01     0.01  Fmove_point_visually
  1.23      0.77     0.02 55068384     0.00     0.00  xfree
  1.23      0.79     0.02 17394051     0.00     0.00  pdumper_set_marked_impl
  1.23      0.81     0.02  3524608     0.00     0.00  Flread__substitute_object_in_subtree
  1.23      0.83     0.02  1623740     0.00     0.00  indirect_function
  1.23      0.85     0.02  1443102     0.00     0.00  move_it_in_display_line
  1.23      0.87     0.02  1336146     0.00     0.00  syms_of_indent
  1.23      0.89     0.02  1165375     0.00     0.00  evxprintf
  1.23      0.91     0.02   749802     0.00     0.00  lookup_char_property
  1.23      0.93     0.02   699739     0.00     0.00  lookup_glyphless_char_display
  1.23      0.95     0.02   635451     0.00     0.00  re_search_2
  1.23      0.97     0.02   478997     0.00     0.00  do_symval_forwarding
  1.23      0.99     0.02   307345     0.00     0.00  assq_no_quit
  1.23      1.01     0.02   114667     0.00     0.00  buf_bytepos_to_charpos
  1.23      1.03     0.02    68787     0.00     0.00  Fcurrent_bidi_paragraph_direction
  1.23      1.05     0.02    50762     0.00     0.00  set_point_both
  1.23      1.07     0.02    32491     0.00     0.00  Fmember
  1.23      1.09     0.02    23628     0.00     0.00  Finternal_show_cursor
  1.23      1.11     0.02    20490     0.00     0.00  Fcurrent_cpu_time
  1.23      1.13     0.02    13986     0.00     0.00  face_at_buffer_position
  1.23      1.15     0.02                             pdumper_remember_lv_ptr_raw_impl
  0.62      1.16     0.01  5710726     0.00     0.00  Fmake_char_table
  0.62      1.17     0.01  2026154     0.00     0.00  char_table_ref
  0.62      1.18     0.01  1954677     0.00     0.00  balance_intervals
  0.62      1.19     0.01  1745639     0.00     0.00  Fassq
  0.62      1.20     0.01  1633389     0.00     0.00  get_keymap
  0.62      1.21     0.01  1540054     0.00     0.00  unbind_to
  0.62      1.22     0.01   965756     0.00     0.00  Fmemq
  0.62      1.23     0.01   696286     0.00     0.00  bidi_mirror_char
  0.62      1.24     0.01   696286     0.00     0.00  bidi_move_to_visually_next
  0.62      1.25     0.01   672727     0.00     0.00  arithcompare
  0.62      1.26     0.01   635093     0.00     0.00  move_it_past_eol
  0.62      1.27     0.01   494858     0.00     0.00  find_symbol_value
  0.62      1.28     0.01   412293     0.00     0.00  find_composition
  0.62      1.29     0.01   369910     0.00     0.00  funcall_general
  0.62      1.30     0.01   267244     0.00     0.00  next_interval
  0.62      1.31     0.01   267111     0.00     0.00  pin_string
  0.62      1.32     0.01   229746     0.00     0.00  Fmake_symbol
  0.62      1.33     0.01   167799     0.00     0.00  Finternal_face_x_get_resource
  0.62      1.34     0.01   163640     0.00     0.00  Flong_line_optimizations_p
  0.62      1.35     0.01    82121     0.00     0.00  init_iterator
  0.62      1.36     0.01    74034     0.00     0.00  Finternal_merge_in_global_face
  0.62      1.37     0.01    60300     0.00     0.00  syms_of_callproc
  0.62      1.38     0.01    29757     0.00     0.00  invisible_prop
  0.62      1.39     0.01    28198     0.00     0.00  Fset_keymap_parent
  0.62      1.40     0.01    27717     0.00     0.00  Fposix_looking_at
  0.62      1.41     0.01    23836     0.00     0.00  syms_of_filelock
  0.62      1.42     0.01    20370     0.00     0.00  window_wants_header_line
  0.62      1.43     0.01    13312     0.00     0.00  row_hash
  0.62      1.44     0.01    12473     0.00     0.00  Frassq
  0.62      1.45     0.01    11501     0.00     0.00  Flocal_variable_p
  0.62      1.46     0.01    10298     0.00     0.00  turn_on_atimers
  0.62      1.47     0.01     9392     0.00     0.00  re_compile_pattern
  0.62      1.48     0.01     6010     0.00     0.00  Ftab_bar_height
  0.62      1.49     0.01     5100     0.00     0.00  Fcoding_system_put
  0.62      1.50     0.01     5023     0.00     0.00  Fmodify_syntax_entry
  0.62      1.51     0.01     4911     0.00     0.00  Fremove_list_of_text_properties
  0.62      1.52     0.01     4163     0.00     0.00  move_it_to
  0.62      1.53     0.01     1615     0.01     0.01  Fskip_syntax_backward
  0.62      1.54     0.01     1398     0.01     0.01  decode_coding_object
  0.62      1.55     0.01     1091     0.01     0.01  set_window_buffer
  0.62      1.56     0.01     1027     0.01     0.01  Ftry_completion
  0.62      1.57     0.01      511     0.02     0.02  Fdelete
  0.62      1.58     0.01      203     0.05     0.05  set_unwind_protect_ptr
  0.62      1.59     0.01      105     0.10     0.10  clear_charpos_cache
  0.62      1.60     0.01       61     0.16     0.16  Foverlay_put
  0.62      1.61     0.01        1    10.00    10.00  Fcurrent_input_mode
  0.62      1.62     0.01        1    10.00    10.00  Fyes_or_no_p
  0.00      1.62     0.00 29763131     0.00     0.00  pdumper_marked_p_impl
  0.00      1.62     0.00 11054267     0.00     0.00  pdumper_cold_object_p_impl
  0.00      1.62     0.00  2366056     0.00     0.00  Fcdr
  0.00      1.62     0.00  2331880     0.00     0.00  syms_of_print
  0.00      1.62     0.00  2219406     0.00     0.00  unblock_input
  0.00      1.62     0.00  2207480     0.00     0.00  Fget_file_char
