Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.88      0.16     0.16   252378     0.00     0.00  exec_byte_code
  8.64      0.30     0.14 11294708     0.00     0.00  process_mark_stack
  6.17      0.40     0.10 54405183     0.00     0.00  internal_equal
  4.94      0.48     0.08     9995     0.01     0.01  mark_char_table
  3.70      0.54     0.06   617383     0.00     0.00  re_match_2_internal
  1.85      0.57     0.03  2026386     0.00     0.00  plist_get
  1.85      0.60     0.03    14661     0.00     0.00  move_it_in_display_line_to
  1.85      0.63     0.03    14163     0.00     0.00  set_buffer_internal_2
  1.23      0.65     0.02 17394051     0.00     0.00  pdumper_set_marked_impl
  1.23      0.67     0.02  3392707     0.00     0.00  readchar
  1.23      0.69     0.02  1623740     0.00     0.00  indirect_function
  1.23      0.71     0.02   749802     0.00     0.00  lookup_char_property
  1.23      0.73     0.02   719162     0.00     0.00  get_next_display_element
  1.23      0.75     0.02   699739     0.00     0.00  lookup_glyphless_char_display
  1.23      0.77     0.02   699010     0.00     0.00  bidi_resolve_explicit
  1.23      0.79     0.02   699010     0.00     0.00  bidi_resolve_weak
  1.23      0.81     0.02   668073     0.00     0.00  compile_pattern
  1.23      0.83     0.02   635451     0.00     0.00  re_search_2
  1.23      0.85     0.02   478713     0.00     0.00  do_symval_forwarding
  1.23      0.87     0.02   307345     0.00     0.00  assq_no_quit
  1.23      0.89     0.02   114667     0.00     0.00  buf_bytepos_to_charpos
  1.23      0.91     0.02    50762     0.00     0.00  set_point_both
  1.23      0.93     0.02    50137     0.00     0.00  intervals_equal_1
  1.23      0.95     0.02    32491     0.00     0.00  Fmember
  1.23      0.97     0.02    13986     0.00     0.00  face_at_buffer_position
  1.23      0.99     0.02      556     0.04     0.04  display_mode_element
  1.23      1.01     0.02       90     0.22     0.22  sweep_conses
  1.23      1.03     0.02       90     0.22     0.33  sweep_strings
  1.23      1.05     0.02                             pdumper_remember_lv_ptr_raw_impl
  0.62      1.06     0.01 17164956     0.00     0.00  set_cons_marked
  0.62      1.07     0.01  4974675     0.00     0.00  sub_char_table_ref
  0.62      1.08     0.01  2021446     0.00     0.00  char_table_ref
  0.62      1.09     0.01  1954677     0.00     0.00  balance_intervals
  0.62      1.10     0.01  1745639     0.00     0.00  Fassq
  0.62      1.11     0.01  1633389     0.00     0.00  get_keymap
  0.62      1.12     0.01  1540054     0.00     0.00  unbind_to
  0.62      1.13     0.01   965756     0.00     0.00  Fmemq
  0.62      1.14     0.01   745080     0.00     0.00  bidi_find_paragraph_start
  0.62      1.15     0.01   696286     0.00     0.00  bidi_level_of_next_char
  0.62      1.16     0.01   696286     0.00     0.00  bidi_move_to_visually_next
  0.62      1.17     0.01   635093     0.00     0.00  next_element_from_buffer
  0.62      1.18     0.01   494858     0.00     0.00  find_symbol_value
  0.62      1.19     0.01   412293     0.00     0.00  find_composition
  0.62      1.20     0.01   366560     0.00     0.00  funcall_general
  0.62      1.21     0.01   267244     0.00     0.00  next_interval
  0.62      1.22     0.01   267111     0.00     0.00  pin_string
  0.62      1.23     0.01   249105     0.00     0.00  swap_in_symval_forwarding
  0.62      1.24     0.01   220435     0.00     0.00  allocate_vectorlike
  0.62      1.25     0.01    73897     0.00     0.00  lface_hash
  0.62      1.26     0.01    73706     0.00     0.00  lookup_face
  0.62      1.27     0.01    69148     0.00     0.00  next_element_from_display_vector
  0.62      1.28     0.01    41483     0.00     0.00  find_cache_boundary
  0.62      1.29     0.01    25277     0.00     0.00  string_match_1
  0.62      1.30     0.01    23206     0.00     0.00  handle_stop
  0.62      1.31     0.01    23122     0.00     0.00  compute_stop_pos
  0.62      1.32     0.01    20370     0.00     0.00  window_wants_header_line
  0.62      1.33     0.01    18656     0.00     0.00  adjust_markers_for_insert
  0.62      1.34     0.01    17931     0.00     0.00  display_string
  0.62      1.35     0.01    17931     0.00     0.00  reseat_to_string
  0.62      1.36     0.01    17428     0.00     0.00  init_faces_initial
  0.62      1.37     0.01    16771     0.00     0.00  access_keymap_1
  0.62      1.38     0.01    13312     0.00     0.00  row_hash
  0.62      1.39     0.01    12473     0.00     0.00  Frassq
  0.62      1.40     0.01    11501     0.00     0.00  Flocal_variable_p
  0.62      1.41     0.01    10576     0.00     0.00  decode_time_components
  0.62      1.42     0.01    10298     0.00     0.00  turn_on_atimers
  0.62      1.43     0.01     9392     0.00     0.00  re_compile_pattern
  0.62      1.44     0.01     6010     0.00     0.00  display_line
  0.62      1.45     0.01     5137     0.00     0.00  consume_chars
  0.62      1.46     0.01     4979     0.00     0.00  skip_chars
  0.62      1.47     0.01     4911     0.00     0.00  Fremove_list_of_text_properties
  0.62      1.48     0.01     4163     0.00     0.00  move_it_to
  0.62      1.49     0.01     4116     0.00     0.00  init_iterator
  0.62      1.50     0.01     1740     0.01     0.01  clear_window_matrices
  0.62      1.51     0.01     1665     0.01     0.01  decode_lisp_time
  0.62      1.52     0.01     1398     0.01     0.01  decode_coding_object
  0.62      1.53     0.01     1062     0.01     0.01  window_loop
  0.62      1.54     0.01     1027     0.01     0.01  Ftry_completion
  0.62      1.55     0.01      857     0.01     0.01  scan_sexps_forward
  0.62      1.56     0.01      511     0.02     0.02  Fdelete
  0.62      1.57     0.01      203     0.05     0.05  set_unwind_protect_ptr
  0.62      1.58     0.01      105     0.10     0.10  clear_charpos_cache
  0.62      1.59     0.01       61     0.16     0.16  Foverlay_put
  0.62      1.60     0.01        1    10.00    10.00  Fyes_or_no_p
  0.62      1.61     0.01                             deliver_user_signal
  0.62      1.62     0.01                             find_string_data_in_pure
  0.00      1.62     0.00 29763131     0.00     0.00  pdumper_marked_p_impl
  0.00      1.62     0.00 19452476     0.00     0.00  cons_marked_p
  0.00      1.62     0.00 12468677     0.00     0.00  vector_marked_p
  0.00      1.62     0.00 11054267     0.00     0.00  pdumper_cold_object_p_impl
  0.00      1.62     0.00  5488783     0.00     0.00  mark_interval_tree
  0.00      1.62     0.00  2725714     0.00     0.00  bidi_cache_search.constprop.0
  0.00      1.62     0.00  2366056     0.00     0.00  Fcdr
  0.00      1.62     0.00  2219406     0.00     0.00  unblock_input
  0.00      1.62     0.00  2207480     0.00     0.00  readbyte_from_file
  0.00      1.62     0.00  2207480     0.00     0.00  readbyte_from_stdio
  0.00      1.62     0.00  1411106     0.00     0.00  face_attr_equal_p
  0.00      1.62     0.00  1368302     0.00     0.00  bidi_cache_iterator_state
  0.00      1.62     0.00  1357412     0.00     0.00  bidi_cache_find
  0.00      1.62     0.00  1328450     0.00     0.00  record_unwind_protect_ptr
  0.00      1.62     0.00  1314101     0.00     0.00  fix_position
  0.00      1.62     0.00  1281188     0.00     0.00  Fcons
